,x,y,ele,time,group
0,6.268025,50.846634,155.101929,2022/07/09 12:00:50+00,3.0
1,6.267393,50.844585,159.211868,2022/07/09 12:07:08+00,3.0
2,6.267416,50.844628,159.708908,2022/07/09 12:07:25+00,3.0
3,6.267406,50.844666,160.219162,2022/07/09 12:07:47+00,3.0
4,6.267427,50.844691,160.249374,2022/07/09 12:07:57+00,3.0
5,6.267442,50.844751,160.875092,2022/07/09 12:08:29+00,3.0
6,6.267461,50.844772,160.851654,2022/07/09 12:08:35+00,3.0
7,6.267486,50.84481,161.134109,2022/07/09 12:08:42+00,3.0
8,6.267535,50.844862,161.345276,2022/07/09 12:08:52+00,3.0
9,6.267595,50.844928,161.075073,2022/07/09 12:09:02+00,3.0
10,6.267643,50.844972,161.659744,2022/07/09 12:09:09+00,3.0
11,6.26768,50.845013,161.863586,2022/07/09 12:09:16+00,3.0
12,6.267732,50.845057,162.055283,2022/07/09 12:09:23+00,3.0
13,6.267793,50.845104,161.89946,2022/07/09 12:09:31+00,3.0
14,6.267839,50.845145,161.435654,2022/07/09 12:09:38+00,3.0
15,6.267874,50.845179,161.137726,2022/07/09 12:09:43+00,3.0
16,6.267905,50.845207,161.113647,2022/07/09 12:09:49+00,3.0
17,6.267934,50.84523,161.207916,2022/07/09 12:09:55+00,3.0
18,6.267974,50.845268,161.462631,2022/07/09 12:10:04+00,3.0
19,6.268,50.8453,161.896255,2022/07/09 12:10:10+00,3.0
20,6.268014,50.845336,162.183929,2022/07/09 12:10:17+00,3.0
21,6.267998,50.845385,162.396622,2022/07/09 12:10:24+00,3.0
22,6.267976,50.845414,160.970413,2022/07/09 12:10:29+00,3.0
23,6.267961,50.845458,162.485229,2022/07/09 12:10:36+00,3.0
24,6.267952,50.845488,161.692886,2022/07/09 12:10:42+00,3.0
25,6.26794,50.845508,160.76683,2022/07/09 12:10:49+00,3.0
26,6.267945,50.845537,160.684799,2022/07/09 12:10:55+00,3.0
27,6.267965,50.84558,160.572876,2022/07/09 12:11:02+00,3.0
28,6.267985,50.84561,160.445435,2022/07/09 12:11:08+00,3.0
29,6.268041,50.845639,159.723877,2022/07/09 12:11:21+00,3.0
30,6.268055,50.845646,159.71785,2022/07/09 12:11:25+00,3.0
31,6.268119,50.84569,159.301651,2022/07/09 12:11:33+00,3.0
32,6.268192,50.845705,159.250748,2022/07/09 12:11:41+00,3.0
33,6.268249,50.845722,158.697189,2022/07/09 12:11:50+00,3.0
34,6.268327,50.845711,158.627838,2022/07/09 12:12:03+00,3.0
35,6.268386,50.84569,158.973801,2022/07/09 12:13:23+00,3.0
36,6.268417,50.845673,159.133987,2022/07/09 12:13:30+00,3.0
37,6.268451,50.845639,159.180847,2022/07/09 12:13:39+00,3.0
38,6.268491,50.845605,159.570374,2022/07/09 12:13:49+00,3.0
39,6.268511,50.845589,159.459137,2022/07/09 12:13:56+00,3.0
40,6.268542,50.845575,159.279587,2022/07/09 12:14:02+00,3.0
41,6.268581,50.84556,159.441528,2022/07/09 12:14:09+00,3.0
42,6.268635,50.845542,159.019547,2022/07/09 12:14:16+00,3.0
43,6.268689,50.845529,158.877335,2022/07/09 12:14:24+00,3.0
44,6.268737,50.845515,158.710785,2022/07/09 12:14:37+00,3.0
45,6.268802,50.845513,158.305069,2022/07/09 12:14:47+00,3.0
46,6.268895,50.845489,158.888306,2022/07/09 12:15:10+00,3.0
47,6.268929,50.845513,159.091736,2022/07/09 12:15:16+00,3.0
48,6.268973,50.845549,158.870316,2022/07/09 12:15:22+00,3.0
49,6.269021,50.845583,159.092407,2022/07/09 12:15:31+00,3.0
50,6.269067,50.845615,158.657959,2022/07/09 12:15:39+00,3.0
51,6.269117,50.845649,158.892288,2022/07/09 12:15:48+00,3.0
52,6.26916,50.845686,158.960587,2022/07/09 12:15:57+00,3.0
53,6.269203,50.845718,158.223389,2022/07/09 12:16:04+00,3.0
54,6.269211,50.84575,158.651642,2022/07/09 12:16:10+00,3.0
55,6.269186,50.845775,158.010941,2022/07/09 12:16:16+00,3.0
56,6.269131,50.845801,158.571014,2022/07/09 12:16:22+00,3.0
57,6.269062,50.845833,158.230133,2022/07/09 12:16:30+00,3.0
58,6.269023,50.845854,158.826889,2022/07/09 12:16:36+00,3.0
59,6.26895,50.845888,159.054901,2022/07/09 12:16:46+00,3.0
60,6.268879,50.845923,158.59285,2022/07/09 12:16:55+00,3.0
61,6.268823,50.845962,158.146606,2022/07/09 12:17:04+00,3.0
62,6.268772,50.845999,158.333252,2022/07/09 12:17:11+00,3.0
63,6.268726,50.846029,158.25766,2022/07/09 12:17:19+00,3.0
64,6.268707,50.846039,158.256897,2022/07/09 12:17:22+00,3.0
65,6.268658,50.846069,158.534256,2022/07/09 12:17:29+00,3.0
66,6.268612,50.84609,158.354782,2022/07/09 12:17:36+00,3.0
67,6.268574,50.846124,158.562317,2022/07/09 12:17:43+00,3.0
68,6.268499,50.846165,158.817459,2022/07/09 12:17:55+00,3.0
69,6.268446,50.846196,159.003479,2022/07/09 12:18:03+00,3.0
70,6.268394,50.846213,159.119812,2022/07/09 12:18:10+00,3.0
71,6.268351,50.846235,158.37796,2022/07/09 12:18:15+00,3.0
72,6.268299,50.84627,158.875778,2022/07/09 12:18:23+00,3.0
73,6.268253,50.846314,158.540131,2022/07/09 12:18:33+00,3.0
74,6.268159,50.846359,158.434204,2022/07/09 12:18:44+00,3.0
75,6.2681,50.846385,157.736862,2022/07/09 12:18:53+00,3.0
76,6.268021,50.846624,156.796631,2022/07/09 12:19:23+00,3.0
