"station","lat","lon","altitude","mag_x_","mag_y","mag_z","mag_abs","mag_abs_std","time","unix_time","mag_count","student_id"
0.000000000E0,5.077540252E1,6.098364442E0,1.723741198E2,2.074236462E1,-2.498429757E-1,-4.232312558E1,4.713477842E1,2.841637566E-1,6.545500000E1,1.656241608E9,5.100000000E1,0.000000000E0
1.000000000E0,5.077535570E1,6.098122342E0,1.681603204E2,1.826451115E1,3.784181536E0,-4.265562828E1,4.656346247E1,3.566716208E-1,1.196960000E2,1.656241663E9,4.900000000E1,0.000000000E0
2.000000000E0,5.077535228E1,6.098110355E0,1.679674010E2,1.441141880E1,1.401473508E0,-4.377831351E1,4.611410837E1,2.927719012E-1,1.569800000E2,1.656241700E9,5.100000000E1,0.000000000E0
3.000000000E0,5.077536443E1,6.098191309E0,1.703281908E2,1.984716489E1,-2.731401278E-1,-4.288805067E1,4.726079383E1,2.599982600E-1,1.970810000E2,1.656241740E9,5.200000000E1,0.000000000E0
4.000000000E0,5.077536631E1,6.098192746E0,1.703064746E2,1.972200188E1,2.659500814E-1,-4.383266658E1,4.806756652E1,3.102124484E-1,2.235490000E2,1.656241766E9,5.100000000E1,0.000000000E0
5.000000000E0,5.077537124E1,6.098192480E0,1.677442475E2,2.176579132E1,-9.383241582E-1,-4.506335838E1,5.006423180E1,3.287316722E-1,2.637880000E2,1.656241807E9,5.000000000E1,0.000000000E0
6.000000000E0,5.077538908E1,6.098387318E0,1.630112615E2,2.008345589E1,8.252633489E-1,-4.228950625E1,4.682494039E1,2.606977350E-1,3.154700000E2,1.656241858E9,5.200000000E1,0.000000000E0
7.000000000E0,5.077537866E1,6.098097741E0,1.636361646E2,2.492884643E1,1.151593471E0,-4.114101456E1,4.812028332E1,2.935225007E-1,3.805540000E2,1.656241923E9,5.800000000E1,0.000000000E0
8.000000000E0,5.077539663E1,6.098062316E0,1.637856604E2,1.731681556E1,-1.341076612E0,-4.192325607E1,4.538151631E1,2.717698454E-1,4.123680000E2,1.656241955E9,5.200000000E1,0.000000000E0
9.000000000E0,5.077538747E1,6.097988271E0,1.640261021E2,1.959113718E1,-3.789552005E0,-4.317819766E1,4.756979993E1,2.769140921E-1,4.362270000E2,1.656241979E9,3.800000000E1,0.000000000E0
1.000000000E1,5.077538134E1,6.098016395E0,1.626581976E2,1.747750782E1,-2.521841960E-2,-4.359718163E1,4.697260784E1,3.405192842E-1,4.758280000E2,1.656242019E9,5.500000000E1,0.000000000E0
1.100000000E1,5.077539860E1,6.098392962E0,1.692556065E2,2.013895272E1,-5.212818590E-1,-4.259327014E1,4.711872660E1,3.157766464E-1,5.392570000E2,1.656242082E9,5.800000000E1,0.000000000E0
